Ano,Commodities,CAPEX (R$/Ha),OPEX (R$/Ha),Preço de venda da tonelada - U$D/t,Receita (interna) - mil U$D,Receita (global) - mil U$D,Demanda (Interna) (1000 t),Demanda (Global) (1000 t),MarketShareProdução (%),MarketShareExportação (%),Área plantada (mil He),Produção (mil t),Produção / HE,,0,,,,,,,,,,,,,,,,,,,,,,
2018/2019,Milho,"44,400","3,980",164.41,10933265,186111955.6,"66,500.00","1,131,999.00",8.914874424,21.70508274,"17,493.00","100,043.00",5.719030469,,Fonte USDA,,,,1000,,,,,,,,,,,,,,,,,,
2019/2020,Milho,"47,800",2698.23,170.07,11564760,193110743.5,"68,000.00","1,135,478.00",9.040894091,20.36110998,"18,527.00","102,501.00",5.532520106,,Conab (grãos),,,,,,,,,,,,,,,,,,,,,,
2020/2021,Milho,"57,500",2598.5,165.47,11665635,190906710.3,"70,500.00","1,153,724.00",7.669029374,11.39586499,"19,867.00","87,020.00",4.38012785,,Conab (cana),,,,Commodity,Attribute,Country,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,Unit Description,,,,,,,
2021/2022,Milho,"80,100",3766.91,259.55,18557825,306864148.2,"71,500.00","1,182,293.00",9.500098277,23.33961432,"21,581.90","113,272.30",5.248486,,Citrus,,,,"Sugar, Centrifugal",Cane Sugar Production,Brazil,"29,500","30,300","42,050","35,450","38,050","45,544","43,700","44,386",(1000 MT),,,,,,,
2022/2023,Milho,"93,900",6779.69,318.81,24867180,372206849.3,"78,000.00","1,167,488.00",11.75241353,30.04396055,"22,267.40","131,866.10",5.921935206,,,,,,,,World,"139,579","125,863","142,943","142,517","143,735","141,127","139,757","149,605",(1000 MT),,,,,,,
2023/2024,Milho,"99,100",6020.21,252.66,21223440,309808407.4,"84,000.00","1,226,187.00",9.665932381,19.85943713,"21,058.50","115,723.20",5.495320179,,,,,,,Exports,Brazil,"19,600","19,280","32,150","25,950","28,200","35,974","34,890","35,700",(1000 MT),,,,,,Exports,0
2024/2025,Milho,"104,700",5858.77,190.6,17630500,238135258.8,"92,500.00","1,249,398.00",11.0445371,22.48392975,"21,857.50","139,695.80",6.39120668,,,,,,,,World,"58,285","53,524","64,033","64,664","62,008","62,937","63,388","66,001",(1000 MT),,,,,,Brazil,World
2025/2026,Milho,"109,400",6386.35,203.2,19507200,261794142.4,"96,000.00","1,288,357.00",10.14549563,20.7441856,"22,483.20","139,572.00",6.207835184,,,,,,,Human Dom. Consumption,Brazil,"10,600","10,650","10,150","9,500","9,500","9,500","9,000","9,000",(1000 MT),,,,,,19600,58285
2018/2019,Trigo,"41,500","3,800",209.93,2498.167,153512.1522,11.90,731.25,0.743670648,0.341585479,"2,042.40","5,427.60",2.65746181,,,,,,,,World,"171,979","171,456","171,275","174,026","176,568","177,015","175,772","178,113",(1000 MT),,,,,,19280,53524
2019/2020,Trigo,"44,200",2694.24,201.69,2400.111,149057.381,11.90,739.04,0.678907637,0.21840569,"2,039.00","5,154.00",2.527709662,,,,,,,,,,,,,,,,,,,,,,,32150,64033
2020/2021,Trigo,"53,800",4182.76,231.57,2732.526,179824.0625,11.80,776.54,0.806849225,0.454453894,"2,328.00","6,814.00",2.926975945,,,,,,,,,,,,,,,,,,,,,,,25950,64664
2021/2022,Trigo,"76,400",6453.08,315.24,3704.07,248295.3184,11.75,787.64,0.983453293,1.506911176,"3,029.90","9,365.90",3.091158124,,,,,,,,calcular cana dnv,,,,,,,,,,,,,,,28200,62008
2022/2023,Trigo,"89,500",7630.64,429.97,5095.1445,336227.5106,11.85,781.98,1.335146589,1.210529398,"3,450.50","10,817.50",3.135052891,,,,,,,,,,,,,,,,,,,,,,,35974,62937
2023/2024,Trigo,"94,800",6391.84,340.43,4085.16,271519.819,12.00,797.58,1.022954249,1.265355713,"3,068.80","8,807.30",2.869949166,,,,,,,,,,,,,,,,,,,,,,,34890,63388
2024/2025,Trigo,"99,200",6010.86,268.67,3277.774,215062.2749,12.20,800.47,0.986954041,0.899942031,"2,449.00","7,536.10",3.07721519,,,,,,,,,,,,,,,(WORLD BANK GROUP),,,,,,,,35700,66001
2025/2026,Trigo,"103,700",6145.51,243.33,3005.1255,198523.7005,12.35,815.86,0.932651939,0.946449013,"2,220.80","6,616.20",2.979196686,Café (Saca),Demanda Total Mundo,Pct. Arábica Mundo,Demanda Total BR,Pct. Arábica BR,Prod café globalarabica,Demanda Global,Demanda Interna,Exportação Global,Exportação Brasil,Fator de conversão,,,,280,,,,,,,,,
2018/2019,Café,"50,550",13888.54,2930,1930959.762,13765162.94,659.03,"4,698.01",47.34415485,28.99153195,1449.80,2982,2.056832588,"49,700",,,,,"104,976","165,385","23,200","142,890","41,426",0.473441549,,,,280,,,,,,,,,
