ano_agricola;dsc_safra_previsao;uf;produto;id_produto;dsc_levantamento;id_levantamento;area_plantada_mil_ha;producao_mil_t;producao_acucar_mil_t;producao_etanol_anidro_mil_l;producao_etanol_hidratado_mil_l;producao_etanol_total_mil_l;produtcao_atr_kg_t
2017/18             ;UNICA          ;AC;CANA DE ACUCAR                          ;4238;1º LEV              ;1;1.9;104.2;0;0;6700;6700;108.7
2017/18             ;UNICA          ;AC;CANA DE ACUCAR                          ;4238;2º LEV              ;2;1.9;106.5;0;0;6463.2;6463.2;102.6
2017/18             ;UNICA          ;AC;CANA DE ACUCAR                          ;4238;LEVANT              ;99;0;0;0;0;0;0;0
2017/18             ;UNICA          ;AL;CANA DE ACUCAR                          ;4238;1º LEV              ;1;301.7;15538;1326.5;246107;49624;295731;123
2017/18             ;UNICA          ;AL;CANA DE ACUCAR                          ;4238;2º LEV              ;2;325.2;16850.6;1553.2;268717.5;62905;331622.4;131.2
2017/18             ;UNICA          ;AL;CANA DE ACUCAR                          ;4238;LEVANT              ;99;303.8;13646.9;1064.9;217373;109529;326902;123.6
2017/18             ;UNICA          ;AM;CANA DE ACUCAR                          ;4238;1º LEV              ;1;3.6;276.4;14.2;0;6449;6449;93.3
2017/18             ;UNICA          ;AM;CANA DE ACUCAR                          ;4238;2º LEV              ;2;3.6;276.4;14.6;0;6642.1;6642.1;96.1
2017/18             ;UNICA          ;AM;CANA DE ACUCAR                          ;4238;LEVANT              ;99;3.6;222.1;11.9;0;4845;4845;93.1
2017/18             ;UNICA          ;BA;CANA DE ACUCAR                          ;4238;1º LEV              ;1;39.3;3106;143.8;70883;68664;139547;126.2
2017/18             ;UNICA          ;BA;CANA DE ACUCAR                          ;4238;2º LEV              ;2;43.4;3172.1;135.8;56173.2;95801.3;151974.6;127.3
2017/18             ;UNICA          ;BA;CANA DE ACUCAR                          ;4238;LEVANT              ;99;47.1;3539.7;160.1;74714;105931;180645;135.3
2017/18             ;UNICA          ;CE;CANA DE ACUCAR                          ;4238;1º LEV              ;1;0.8;40;0;0;2795;2795;118.2
