Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;27575 - Índice de Commodities - Brasil - Agropecuária - Índice
01/2000;0,62 ;57,22
02/2000;0,13 ;55,61
03/2000;0,22 ;55,12
04/2000;0,42 ;56,73
05/2000;0,01 ;59,72
06/2000;0,23 ;59,81
07/2000;1,61 ;59,82
08/2000;1,31 ;59,81
09/2000;0,23 ;60,65
10/2000;0,14 ;63,24
11/2000;0,32 ;65,09
12/2000;0,59 ;66,36
01/2001;0,57 ;66,68
02/2001;0,46 ;67,54
03/2001;0,38 ;67,03
04/2001;0,58 ;68,72
05/2001;0,41 ;72,17
06/2001;0,52 ;75,06
07/2001;1,33 ;77,52
08/2001;0,70 ;75,88
09/2001;0,28 ;77,20
10/2001;0,83 ;74,76
11/2001;0,71 ;72,06
12/2001;0,65 ;67,41
01/2002;0,52 ;69,46
02/2002;0,36 ;69,05
03/2002;0,60 ;65,23
04/2002;0,80 ;61,44
05/2002;0,21 ;65,96
06/2002;0,42 ;73,01
07/2002;1,19 ;84,62
08/2002;0,65 ;90,18
09/2002;0,72 ;100,91
10/2002;1,31 ;117,08
11/2002;3,02 ;115,72
12/2002;2,10 ;118,12
01/2003;2,25 ;113,91
02/2003;1,57 ;121,20
03/2003;1,23 ;110,18
04/2003;0,97 ;101,84
05/2003;0,61 ;96,52
06/2003;-0,15 ;92,05
07/2003;0,20 ;94,27
08/2003;0,34 ;99,65
09/2003;0,78 ;99,78
10/2003;0,29 ;101,39
11/2003;0,34 ;105,24
12/2003;0,52 ;105,85
01/2004;0,76 ;99,53
02/2004;0,61 ;102,04
03/2004;0,47 ;106,19
04/2004;0,37 ;108,50
05/2004;0,51 ;118,01
06/2004;0,71 ;118,21
07/2004;0,91 ;110,68
08/2004;0,69 ;107,24
09/2004;0,33 ;105,40
10/2004;0,44 ;103,36
11/2004;0,69 ;101,83
12/2004;0,86 ;102,07
01/2005;0,58 ;101,36
02/2005;0,59 ;98,74
03/2005;0,61 ;106,39
04/2005;0,87 ;99,59
05/2005;0,49 ;94,57
06/2005;-0,02 ;91,39
07/2005;0,25 ;90,03
08/2005;0,17 ;89,02
09/2005;0,35 ;89,04
10/2005;0,75 ;92,41
11/2005;0,55 ;92,02
12/2005;0,36 ;100,00
01/2006;0,59 ;104,78
02/2006;0,41 ;101,56
03/2006;0,43 ;96,26
04/2006;0,21 ;95,82
05/2006;0,10 ;99,45
06/2006;-0,21 ;101,78
07/2006;0,19 ;102,30
08/2006;0,05 ;97,67
09/2006;0,21 ;95,09
10/2006;0,33 ;95,15
11/2006;0,31 ;99,86
12/2006;0,48 ;100,71
01/2007;0,44 ;100,51
02/2007;0,44 ;98,85
03/2007;0,37 ;98,29
04/2007;0,25 ;92,61
05/2007;0,28 ;89,54
06/2007;0,28 ;87,96
07/2007;0,24 ;88,33
08/2007;0,47 ;91,72
09/2007;0,18 ;92,83
10/2007;0,30 ;89,37
11/2007;0,38 ;89,62
12/2007;0,74 ;93,98
01/2008;0,54 ;98,05
02/2008;0,49 ;102,18
03/2008;0,48 ;102,15
04/2008;0,55 ;100,40
05/2008;0,79 ;99,51
06/2008;0,74 ;101,57
07/2008;0,53 ;100,35
08/2008;0,28 ;95,88
09/2008;0,26 ;102,73
10/2008;0,45 ;104,17
11/2008;0,36 ;101,91
12/2008;0,28 ;105,39
01/2009;0,48 ;106,54
02/2009;0,55 ;103,60
03/2009;0,20 ;101,46
04/2009;0,48 ;101,47
05/2009;0,47 ;101,02
06/2009;0,36 ;94,71
07/2009;0,24 ;94,28
08/2009;0,15 ;93,61
09/2009;0,24 ;91,52
10/2009;0,28 ;90,83
11/2009;0,41 ;93,37
12/2009;0,37 ;96,99
01/2010;0,75 ;101,01
02/2010;0,78 ;102,85
