ano_agricola;dsc_safra_previsao;uf;produto;id_produto;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2001                ;UNICA          ;BA;CAFE                                    ;7090;0;490;0
2001                ;UNICA          ;BA;CAFE                                    ;7498;0;1700;0
2001                ;UNICA          ;ES;CAFE                                    ;7498;0;1900;0
2001                ;UNICA          ;ES;CAFE                                    ;7090;0;5650;0
2001                ;UNICA          ;MG;CAFE                                    ;7090;0;40;0
2001                ;UNICA          ;MG;CAFE                                    ;7498;0;14650;0
2001                ;UNICA          ;MT;CAFE                                    ;7090;0;310;0
2001                ;UNICA          ;MT;CAFE                                    ;7498;0;40;0
2001                ;UNICA          ;NI;CAFE                                    ;7498;0;50;0
2001                ;UNICA          ;NI;CAFE                                    ;7090;0;90;0
2001                ;UNICA          ;PA;CAFE                                    ;7090;0;250;0
2001                ;UNICA          ;PR;CAFE                                    ;7498;0;540;0
2001                ;UNICA          ;RJ;CAFE                                    ;7090;0;10;0
2001                ;UNICA          ;RJ;CAFE                                    ;7498;0;150;0
2001                ;UNICA          ;RO;CAFE                                    ;7090;0;1910;0
2001                ;UNICA          ;SP;CAFE                                    ;7498;0;3520;0
2002                ;UNICA          ;BA;CAFE                                    ;7090;0;550;0
2002                ;UNICA          ;BA;CAFE                                    ;7498;0;1750;0
2002                ;UNICA          ;ES;CAFE                                    ;7498;0;2500;0
2002                ;UNICA          ;ES;CAFE                                    ;7090;0;6825;0
2002                ;UNICA          ;MG;CAFE                                    ;7090;0;40;0
2002                ;UNICA          ;MG;CAFE                                    ;7498;0;25100;0
2002                ;UNICA          ;MT;CAFE                                    ;7498;0;60;0
2002                ;UNICA          ;MT;CAFE                                    ;7090;0;430;0
2002                ;UNICA          ;NI;CAFE                                    ;7090;0;260;0
2002                ;UNICA          ;NI;CAFE                                    ;7498;0;160;0
2002                ;UNICA          ;PA;CAFE                                    ;7090;0;310;0
2002                ;UNICA          ;PR;CAFE                                    ;7498;0;2340;0
2002                ;UNICA          ;RJ;CAFE                                    ;7090;0;15;0
2002                ;UNICA          ;RJ;CAFE                                    ;7498;0;240;0
2002                ;UNICA          ;RO;CAFE                                    ;7090;0;2100;0
2002                ;UNICA          ;SP;CAFE                                    ;7498;0;5800;0
2003                ;UNICA          ;BA;CAFE                                    ;7498;0;1410;0
2003                ;UNICA          ;BA;CAFE                                    ;7090;0;370;0
2003                ;UNICA          ;ES;CAFE                                    ;7090;0;5010;0
2003                ;UNICA          ;ES;CAFE                                    ;7498;0;1600;0
2003                ;UNICA          ;MG;CAFE                                    ;7090;0;30;0
2003                ;UNICA          ;MG;CAFE                                    ;7498;0;12020;0
2003                ;UNICA          ;MT;CAFE                                    ;7498;0;30;0
2003                ;UNICA          ;MT;CAFE                                    ;7090;0;400;0
2003                ;UNICA          ;NI;CAFE                                    ;7090;0;200;0
2003                ;UNICA          ;NI;CAFE                                    ;7498;0;120;0
2003                ;UNICA          ;PA;CAFE                                    ;7090;0;220;0
2003                ;UNICA          ;PR;CAFE                                    ;7498;0;1970;0
2003                ;UNICA          ;RJ;CAFE                                    ;7090;0;10;0
2003                ;UNICA          ;RJ;CAFE                                    ;7498;0;120;0
2003                ;UNICA          ;RO;CAFE                                    ;7090;0;2500;0
2003                ;UNICA          ;SP;CAFE                                    ;7498;0;2810;0
2004                ;UNICA          ;BA;CAFE                                    ;7498;0;1877;0
2004                ;UNICA          ;BA;CAFE                                    ;7090;0;402;0
2004                ;UNICA          ;ES;CAFE                                    ;7090;0;4500;0
2004                ;UNICA          ;ES;CAFE                                    ;7498;0;2295;0
2004                ;UNICA          ;MG;CAFE                                    ;7090;0;30;0
2004                ;UNICA          ;MG;CAFE                                    ;7498;0;18747;0
2004                ;UNICA          ;MT;CAFE                                    ;7498;0;30;0
2004                ;UNICA          ;MT;CAFE                                    ;7090;0;280;0
2004                ;UNICA          ;NI;CAFE                                    ;7498;0;120;0
2004                ;UNICA          ;NI;CAFE                                    ;7090;0;355;0
2004                ;UNICA          ;PA;CAFE                                    ;7090;0;220;0
2004                ;UNICA          ;PR;CAFE                                    ;7498;0;2526;0
2004                ;UNICA          ;RJ;CAFE                                    ;7498;0;250;0
2004                ;UNICA          ;RJ;CAFE                                    ;7090;0;10;0
2004                ;UNICA          ;RO;CAFE                                    ;7090;0;1760;0
2004                ;UNICA          ;SP;CAFE                                    ;7498;0;5870;0
2005                ;UNICA          ;BA;CAFE                                    ;7090;0;405;0
2005                ;UNICA          ;BA;CAFE                                    ;7498;0;1407;0
