ano_agricola;dsc_safra_previsao;uf;produto;id_produto;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
1976/77             ;UNICA          ;AC;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;AL;ALGODAO EM CAROCO                       ;4585;99.3;20;0.2
1976/77             ;UNICA          ;AM;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;AP;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;BA;ALGODAO EM CAROCO                       ;4585;123.4;23.3;0.2
1976/77             ;UNICA          ;CE;ALGODAO EM CAROCO                       ;4585;1296;233.3;0.2
1976/77             ;UNICA          ;DF;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;ES;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;GO;ALGODAO EM CAROCO                       ;4585;73.1;80.6;1.1
1976/77             ;UNICA          ;MA;ALGODAO EM CAROCO                       ;4585;44.4;6.7;0.2
1976/77             ;UNICA          ;MG;ALGODAO EM CAROCO                       ;4585;116.2;88.3;0.8
1976/77             ;UNICA          ;MS;ALGODAO EM CAROCO                       ;4585;68.4;44.9;0.7
1976/77             ;UNICA          ;MT;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;PA;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;PB;ALGODAO EM CAROCO                       ;4585;666.7;116.7;0.2
1976/77             ;UNICA          ;PE;ALGODAO EM CAROCO                       ;4585;300.9;83.3;0.3
1976/77             ;UNICA          ;PI;ALGODAO EM CAROCO                       ;4585;141.2;13.3;0.1
1976/77             ;UNICA          ;PR;ALGODAO EM CAROCO                       ;4585;290.4;394.1;1.4
1976/77             ;UNICA          ;RJ;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;RN;ALGODAO EM CAROCO                       ;4585;559.9;100.2;0.2
1976/77             ;UNICA          ;RO;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;RR;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;RS;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;SC;ALGODAO EM CAROCO                       ;4585;0;0;0
1976/77             ;UNICA          ;SE;ALGODAO EM CAROCO                       ;4585;15.9;3.3;0.2
1976/77             ;UNICA          ;SP;ALGODAO EM CAROCO                       ;4585;300.1;554.9;1.8
1976/77             ;UNICA          ;TO;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;AC;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;AL;ALGODAO EM CAROCO                       ;4585;62.8;17.6;0.3
1977/78             ;UNICA          ;AM;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;AP;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;BA;ALGODAO EM CAROCO                       ;4585;130.2;40;0.3
1977/78             ;UNICA          ;CE;ALGODAO EM CAROCO                       ;4585;1294;265.3;0.2
1977/78             ;UNICA          ;DF;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;ES;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;GO;ALGODAO EM CAROCO                       ;4585;66;59.4;0.9
1977/78             ;UNICA          ;MA;ALGODAO EM CAROCO                       ;4585;47.1;9;0.2
1977/78             ;UNICA          ;MG;ALGODAO EM CAROCO                       ;4585;121.3;90.2;0.7
1977/78             ;UNICA          ;MS;ALGODAO EM CAROCO                       ;4585;45.6;48.6;1.1
1977/78             ;UNICA          ;MT;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;PA;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;PB;ALGODAO EM CAROCO                       ;4585;566.8;99.8;0.2
1977/78             ;UNICA          ;PE;ALGODAO EM CAROCO                       ;4585;278.8;59.9;0.2
1977/78             ;UNICA          ;PI;ALGODAO EM CAROCO                       ;4585;127;21.7;0.2
1977/78             ;UNICA          ;PR;ALGODAO EM CAROCO                       ;4585;290;288;1
1977/78             ;UNICA          ;RJ;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;RN;ALGODAO EM CAROCO                       ;4585;552.2;86.7;0.2
1977/78             ;UNICA          ;RO;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;RR;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;SC;ALGODAO EM CAROCO                       ;4585;0;0;0
1977/78             ;UNICA          ;SP;ALGODAO EM CAROCO                       ;4585;328;386.1;1.2
1977/78             ;UNICA          ;TO;ALGODAO EM CAROCO                       ;4585;0;0;0
1978/79             ;UNICA          ;AC;ALGODAO EM CAROCO                       ;4585;0;0;0
1978/79             ;UNICA          ;AL;ALGODAO EM CAROCO                       ;4585;72.9;17.4;0.2
1978/79             ;UNICA          ;AM;ALGODAO EM CAROCO                       ;4585;0;0;0
1978/79             ;UNICA          ;AP;ALGODAO EM CAROCO                       ;4585;0;0;0
1978/79             ;UNICA          ;BA;ALGODAO EM CAROCO                       ;4585;85.8;40;0.5
1978/79             ;UNICA          ;CE;ALGODAO EM CAROCO                       ;4585;1256.8;181;0.1
1978/79             ;UNICA          ;DF;ALGODAO EM CAROCO                       ;4585;0;0;0
1978/79             ;UNICA          ;ES;ALGODAO EM CAROCO                       ;4585;0;0;0
1978/79             ;UNICA          ;GO;ALGODAO EM CAROCO                       ;4585;35.1;50;1.4
1978/79             ;UNICA          ;MA;ALGODAO EM CAROCO                       ;4585;51.1;12;0.2
1978/79             ;UNICA          ;MG;ALGODAO EM CAROCO                       ;4585;99.3;62.6;0.6
1978/79             ;UNICA          ;MS;ALGODAO EM CAROCO                       ;4585;45.8;62.6;1.4
