Cultura,Ano,Dem_P10,Dem_Med,Dem_P90,Preco_P10,Preco_Med,Preco_P90,FX_Med,Pot_USD_Med,Pot_BRL_Med
Milho,2025,1200156.621,1255351.663,1313457.223,1.758,4.384,6.965,5.264,5520841.193,28768176.960
Milho,2026,1211904.284,1291313.241,1375656.270,1.298,4.007,8.300,5.429,5169404.496,27810150.792
Milho,2027,1229487.077,1328283.455,1437820.123,1.242,3.768,8.985,5.584,4987842.515,27726771.265
Milho,2028,1250130.803,1366248.901,1495735.517,1.243,3.554,9.363,5.753,4881192.428,27766413.535
Milho,2029,1270928.568,1407233.847,1556376.011,1.232,3.445,9.638,5.922,4839048.826,28589382.900
Cafe (Arabica),2025,10353.030,10441.276,10530.046,0.808,2.974,5.092,5.264,31054.344,162574.738
Cafe (Arabica),2026,10512.225,10636.232,10768.338,0.324,2.441,5.903,5.429,25970.737,139211.563
Cafe (Arabica),2027,10679.589,10835.804,10998.711,0.330,2.018,6.254,5.584,21869.022,122064.162
Cafe (Arabica),2028,10855.698,11039.583,11231.696,0.335,1.641,6.430,5.753,18128.374,104417.523
Cafe (Arabica),2029,11033.160,11246.311,11462.195,0.325,1.415,6.309,5.922,15909.950,93296.247
Cana-de-Acucar (Acucar),2025,180219.013,186016.307,192134.276,0.105,0.208,0.315,5.264,38716.105,202410.307
Cana-de-Acucar (Acucar),2026,179820.963,188146.343,197039.612,0.078,0.188,0.347,5.429,35422.986,191498.183
Cana-de-Acucar (Acucar),2027,180217.542,190140.715,201301.238,0.070,0.176,0.370,5.584,33582.357,185252.214
Cana-de-Acucar (Acucar),2028,180461.020,192177.272,205176.653,0.069,0.165,0.371,5.753,31670.411,180944.162
Cana-de-Acucar (Acucar),2029,181063.794,194440.900,209177.321,0.067,0.159,0.383,5.922,30940.619,182654.080
Citros (OJ_Laranja),2025,69661.399,70310.865,70966.684,0.401,3.471,6.588,5.264,244340.031,1267721.473
Citros (OJ_Laranja),2026,70159.315,71129.611,72089.085,0.306,2.415,7.000,5.429,171365.050,916587.671
Citros (OJ_Laranja),2027,70793.343,71969.211,73148.857,0.308,1.652,6.974,5.584,118852.295,652222.851
Citros (OJ_Laranja),2028,71438.418,72780.923,74167.030,0.308,1.244,6.365,5.753,90298.094,522236.417
Citros (OJ_Laranja),2029,72099.893,73635.578,75202.305,0.309,1.071,5.732,5.922,78750.139,472108.930
Trigo,2025,800626.801,816914.943,834010.408,2.641,5.742,8.948,5.264,4694024.107,24617393.888
Trigo,2026,805162.281,828697.933,852653.799,2.058,5.419,10.428,5.429,4489723.888,24119217.027
Trigo,2027,810638.935,839626.693,870176.551,2.014,5.148,11.370,5.584,4321630.741,23841204.992
Trigo,2028,817183.791,851492.452,886691.006,1.955,4.948,11.992,5.753,4216323.814,24133301.699
Trigo,2029,825095.220,863389.559,904101.157,1.977,4.872,12.406,5.922,4224069.352,25037438.650
