Cultura,Ano,Dem_P10,Dem_Med,Dem_P90,Preco_P10,Preco_Med,Preco_P90,FX_Med,Pot_USD_Med,Pot_BRL_Med
Milho,2026,1279411.536,1312258.211,1346163.187,114.436,213.857,316.270,5.867,280267643.076,1646193488.025
Milho,2027,1289390.326,1336361.033,1384890.079,114.953,209.617,344.939,6.259,279869221.850,1753334527.385
Milho,2028,1302867.745,1360894.120,1423068.669,116.595,210.474,360.389,6.675,286543963.161,1909509248.799
Milho,2029,1318154.778,1385841.435,1458424.156,115.204,210.413,361.798,7.120,291517383.683,2077419225.539
Milho,2030,1333507.268,1412340.895,1494870.455,115.421,210.310,362.001,7.594,297369091.573,2259383154.032
Cafe,2026,3463.534,4042.106,4727.412,3303.212,8275.478,13109.110,5.867,32984834.494,193633588.310
Cafe,2027,3186.824,3957.513,4907.110,1900.708,7399.775,15409.872,6.259,29080042.419,181831527.306
Cafe,2028,2955.944,3852.043,5023.866,1233.260,6374.959,16893.585,6.675,24174559.093,161601948.569
Cafe,2029,2765.372,3751.197,5102.232,867.603,5504.135,17929.253,7.120,20514937.136,146335691.806
Cafe,2030,2602.276,3666.802,5136.528,745.747,4743.235,18339.565,7.594,17149883.172,129943502.919
Cana,2026,610846.087,677578.704,753430.086,33.378,51.709,70.314,5.867,35028495.490,205626753.641
Cana,2027,590005.643,685863.053,796625.134,30.826,50.290,74.888,6.259,34360075.246,214989765.453
Cana,2028,575748.942,690112.884,828298.739,30.739,49.593,77.732,6.675,34220473.691,228699580.475
Cana,2029,563176.054,696596.085,860813.594,30.774,49.314,78.704,7.120,34404448.097,244901968.880
Cana,2030,552455.658,702590.771,890874.469,30.595,48.786,79.303,7.594,34525610.396,262006708.423
Citros,2026,1006.022,1106.483,1213.083,162.639,1352.124,2588.613,5.867,1489444.404,8728249.632
Citros,2027,915.635,1044.564,1192.884,247.875,1083.778,3012.899,6.259,1121522.140,7027832.063
Citros,2028,842.813,988.561,1161.140,251.756,968.775,3159.326,6.675,958060.174,6402363.991
Citros,2029,774.961,934.723,1122.885,293.279,957.881,3019.089,7.120,891737.204,6351110.213
Citros,2030,716.391,885.206,1085.690,280.015,956.387,2969.468,7.594,843035.434,6403542.204
Trigo,2026,809.922,828.531,847.548,142.035,263.922,389.971,5.867,218734.414,1284337.232
Trigo,2027,815.170,841.806,869.163,142.878,264.727,443.751,6.259,222584.760,1396542.783
Trigo,2028,821.970,854.768,888.829,142.454,265.858,463.544,6.675,227507.993,1516365.245
Trigo,2029,829.267,867.985,908.627,140.997,267.955,475.202,7.120,233032.611,1657837.502
Trigo,2030,837.570,881.565,927.588,141.489,268.158,481.688,7.594,237196.429,1802756.244
